vertice,in degree centrality
user_0,0.9911
user_354,0.4889
user_259,0.4556
user_56,0.4444
user_203,0.4311
user_323,0.4133
user_367,0.4067
user_19,0.4044
user_191,0.4044
user_167,0.3956
user_421,0.3844
user_408,0.38
user_305,0.3778
user_393,0.3667
user_138,0.3667
user_86,0.3644
user_155,0.3622
user_149,0.3533
user_341,0.3511
user_249,0.3489
user_108,0.3467
user_396,0.3444
user_171,0.3422
user_228,0.3378
user_226,0.3289
user_419,0.3289
user_100,0.3267
user_136,0.3244
user_364,0.3244
user_326,0.3244
user_359,0.3222
user_181,0.3222
user_145,0.3222
user_211,0.3222
user_24,0.3222
user_353,0.32
user_15,0.3156
user_251,0.3156
user_42,0.3156
user_324,0.3156
user_375,0.3133
user_72,0.3133
user_199,0.3111
user_200,0.3089
user_201,0.3067
user_134,0.3067
user_220,0.3067
user_88,0.3044
user_98,0.3
user_130,0.3
user_414,0.2956
user_234,0.2933
user_172,0.2933
user_331,0.2933
user_428,0.2933
user_121,0.2911
user_340,0.2911
user_347,0.2889
user_363,0.2867
user_216,0.2867
user_322,0.2822
user_5,0.2822
user_425,0.2778
user_424,0.2756
user_142,0.2756
user_440,0.2756
user_384,0.2756
user_144,0.2733
user_96,0.2733
user_334,0.2711
user_102,0.2711
user_63,0.2667
user_236,0.2667
user_281,0.2667
user_247,0.2667
user_262,0.2667
user_406,0.2644
user_177,0.2644
user_68,0.26
user_309,0.26
user_50,0.26
user_126,0.2578
user_386,0.2578
user_71,0.2556
user_277,0.2556
user_337,0.2511
user_395,0.2511
user_447,0.2511
user_382,0.2511
user_53,0.2489
user_124,0.2489
user_412,0.2489
user_202,0.2467
user_264,0.2467
user_256,0.2467
user_221,0.2467
user_168,0.2444
user_17,0.2444
user_3,0.2444
user_346,0.2422
user_391,0.2378
user_139,0.2378
user_182,0.2378
user_441,0.2356
user_174,0.2356
user_194,0.2333
user_357,0.2333
user_311,0.2333
user_434,0.2311
user_258,0.2289
user_1,0.2289
user_147,0.2289
user_209,0.2289
user_448,0.2267
user_14,0.2244
user_293,0.2244
user_400,0.2222
user_8,0.2222
user_302,0.22
user_113,0.22
user_94,0.22
user_150,0.22
user_35,0.2156
user_111,0.2133
user_436,0.2133
user_74,0.2111
user_443,0.2111
user_239,0.2089
user_31,0.2089
user_89,0.2089
user_164,0.2089
user_148,0.2067
user_46,0.2067
user_352,0.2044
user_388,0.2044
user_115,0.2022
user_23,0.2022
user_69,0.2022
user_343,0.2022
user_61,0.2022
user_54,0.1978
user_410,0.1978
user_93,0.1956
user_122,0.1956
user_104,0.1956
user_158,0.1956
user_399,0.1933
user_141,0.1889
user_397,0.1844
user_33,0.1844
user_137,0.1822
user_243,0.1822
user_368,0.18
user_106,0.1778
user_394,0.1778
user_272,0.1778
user_298,0.1756
user_315,0.1733
user_286,0.1733
user_377,0.1733
user_151,0.1733
user_227,0.1711
user_268,0.1689
user_437,0.1689
user_244,0.1689
user_332,0.1667
user_266,0.1667
user_48,0.1644
user_321,0.1644
user_128,0.1622
user_411,0.16
user_407,0.16
user_402,0.1578
user_29,0.1578
user_232,0.1578
user_313,0.1556
user_81,0.1556
user_373,0.1556
user_288,0.1556
user_275,0.1511
user_225,0.1489
user_135,0.1489
user_190,0.1489
user_404,0.1467
user_274,0.1467
user_80,0.1467
user_83,0.1467
user_38,0.1444
user_409,0.1444
user_116,0.1422
user_265,0.1422
user_439,0.1422
user_131,0.14
user_40,0.1378
user_117,0.1378
user_13,0.1356
user_26,0.1356
user_248,0.1356
user_379,0.1356
user_196,0.1333
user_291,0.1333
user_185,0.1311
user_73,0.1289
user_252,0.1289
user_4,0.1289
user_330,0.1289
user_260,0.1267
user_163,0.1267
user_188,0.1244
user_442,0.1222
user_413,0.1222
user_338,0.12
user_360,0.1178
user_91,0.1156
user_173,0.1156
user_283,0.1156
user_79,0.1156
user_361,0.1133
user_297,0.1133
user_342,0.1133
user_213,0.1089
user_306,0.1067
user_284,0.1067
user_450,0.1044
user_345,0.1044
user_429,0.1044
user_30,0.1044
user_39,0.1044
user_21,0.1022
user_307,0.1022
user_235,0.1022
user_84,0.1
user_270,0.1
user_374,0.1
user_103,0.0978
user_271,0.0978
user_294,0.0978
user_60,0.0978
user_192,0.0978
user_245,0.0956
user_25,0.0956
user_154,0.0933
user_205,0.0933
user_241,0.0933
user_415,0.0911
user_55,0.0911
user_175,0.0911
user_178,0.0911
user_208,0.0911
user_105,0.0889
user_261,0.0889
user_278,0.0889
user_431,0.0889
user_380,0.0889
user_435,0.0867
user_195,0.0867
user_310,0.0867
user_189,0.0867
user_95,0.0867
user_438,0.0867
user_427,0.0844
user_392,0.0844
user_101,0.0844
user_290,0.0844
user_193,0.0822
user_401,0.08
user_34,0.08
user_267,0.08
user_146,0.08
user_165,0.08
user_52,0.08
user_257,0.08
user_371,0.08
user_78,0.0778
user_446,0.0778
user_304,0.0778
user_125,0.0778
user_444,0.0778
user_223,0.0778
user_335,0.0756
user_160,0.0756
user_328,0.0756
user_10,0.0756
user_255,0.0733
user_325,0.0733
user_280,0.0711
user_66,0.0711
user_58,0.0711
user_184,0.0711
user_129,0.0711
user_218,0.0689
user_2,0.0667
user_254,0.0667
user_132,0.0667
user_358,0.0667
user_349,0.0667
user_92,0.0644
user_222,0.0644
user_28,0.0644
user_7,0.0644
user_90,0.0644
user_303,0.0644
user_127,0.0622
user_299,0.0622
user_320,0.06
user_430,0.06
user_27,0.06
user_9,0.06
user_376,0.06
user_64,0.0578
user_44,0.0578
user_67,0.0578
user_109,0.0556
user_214,0.0556
user_156,0.0556
user_269,0.0556
user_417,0.0533
user_316,0.0533
user_296,0.0511
user_390,0.0511
user_179,0.0511
user_133,0.0511
user_157,0.0511
user_369,0.0511
user_153,0.0511
user_43,0.0511
user_273,0.0511
user_57,0.0489
user_12,0.0489
user_143,0.0489
user_76,0.0489
user_422,0.0489
user_426,0.0489
user_162,0.0489
user_169,0.0489
user_82,0.0467
user_403,0.0467
user_405,0.0467
user_295,0.0467
user_416,0.0467
user_387,0.0467
user_351,0.0467
user_118,0.0444
user_70,0.0444
user_229,0.0444
user_355,0.0444
user_206,0.0444
user_41,0.0422
user_318,0.0422
user_327,0.0422
user_378,0.0422
user_77,0.0422
user_170,0.04
user_237,0.04
user_212,0.04
user_99,0.0378
user_300,0.0378
user_152,0.0378
user_32,0.0378
user_329,0.0378
user_161,0.0378
user_210,0.0356
user_18,0.0356
user_308,0.0356
user_279,0.0356
user_362,0.0333
user_420,0.0333
user_85,0.0333
user_365,0.0311
user_183,0.0311
user_45,0.0311
user_246,0.0311
user_350,0.0289
user_219,0.0289
user_187,0.0289
user_449,0.0267
user_120,0.0267
user_16,0.0267
user_22,0.0267
user_180,0.0267
user_250,0.0244
user_339,0.0244
user_110,0.0244
user_276,0.0244
user_312,0.0222
user_263,0.0222
user_230,0.0222
user_107,0.0222
user_123,0.0222
user_140,0.0222
user_97,0.0222
user_366,0.0222
user_112,0.02
user_301,0.02
user_289,0.02
user_6,0.02
user_159,0.02
user_242,0.02
user_215,0.0178
user_197,0.0178
user_62,0.0178
user_59,0.0178
user_348,0.0178
user_344,0.0178
user_224,0.0156
user_336,0.0156
user_20,0.0156
user_49,0.0156
user_287,0.0156
user_418,0.0156
user_445,0.0156
user_319,0.0156
user_36,0.0133
user_292,0.0133
user_37,0.0133
user_385,0.0133
user_217,0.0133
user_381,0.0133
user_314,0.0133
user_432,0.0133
user_75,0.0111
user_253,0.0111
user_398,0.0111
user_176,0.0111
user_389,0.0111
user_114,0.0089
user_51,0.0089
user_333,0.0089
user_285,0.0089
user_186,0.0089
user_282,0.0089
user_233,0.0089
user_370,0.0067
user_47,0.0067
user_166,0.0067
user_372,0.0067
user_204,0.0067
user_119,0.0067
user_240,0.0067
user_198,0.0044
user_11,0.0044
user_383,0.0044
user_317,0.0044
user_207,0.0044
user_231,0.0044
user_87,0.0044
user_356,0.0022
user_238,0.0022
user_433,0.0022
user_65,0.0
user_423,0.0
